PWY0-1465	1.1.1.83	D-malate dehydrogenase (decarboxylating)
PWY3DJ-35471	3.1.1.17	gluconolactonase
PWY-5780	1.10.3.-	phenolic oxidative coupling protein
PWY-7445	1.11.1.7	luteolin diglucuronide peroxidase N3
PWY-7445	3.2.1.31	luteolin triglucuronide &beta;-glucuronidase
PWY-7338	4.2.1.119	<i>trans</i>--2-enoyl-CoA hydratase 2
PWY-7337	4.2.1.119	<i>trans</i>--2-enoyl-CoA hydratase 2
PWY-2861	2.4.1.170	isoflavone7-O-glucosyltransferase
PWY-6117	2.3.1.57	spermine <i>N<sup>1</sup></i>-acetyltransferase
PWY-6409	|1.14.13.cg|	L-ornithine 5-monooxygenase
PWY-2861	2.3.1.115	isoflavone-7-O-glucoside-6''-O-malonyltransferase
PWY0-1477	4.3.1.7	ethanolamine ammonia-lyase
PWY-5022	2.8.3.-	4-hydroxybutyrate CoA-transferase
PWY-5677	2.8.3.-	4-hydroxybutyrate CoA-transferase
PWY-5741	4.1.3.24	(<i>S</i>)-malyl-CoA lyase
PWY-5743	4.1.3.24	(<i>S</i>)-malyl-CoA lyase
PWY-1622	4.1.3.24	(<i>S</i>)-malyl-CoA lyase
SUCUTIL-PWY	3.2.1.-	sucrose-6-phosphate hydrolase
PWY-6567	2.8.2.5	[chondroitin]-<i>N</i>-acetylgalactosamine 4-<i>O</i>-sulfotransferase
PWY-6908	3.1.3.2	thiamin monophosphate phosphatase
PWY-6907	3.1.3.2	thiamin monophosphate phosphatase
PWY-282	1.2.1.-	alcohol-forming fatty acyl-CoA reductase
PWY-282	2.3.1.75	wax ester synthase
PWY-5947	5.5.1.19	&delta;-carotene &beta;-cyclase
TRNA-CHARGING-PWY	6.1.1.6	lysyl-tRNA synthetase
PWY66-428	4.3.1.19	L-threonine deaminase
PWY-7003	1.2.1.57	butanal dehydrogenase
PWY-6883	1.2.1.57	butanal dehydrogenase
PWY-6583	1.2.1.57	butanal dehydrogenase
PWY-7120	2.3.1.188	&omega;-hydroxypalmitate O-feruloyl transferase
PWY-6806	1.13.11.71	&beta;,&beta;-carotene-9',10'-cleaving dioxygenase
PWY-7356	3.5.99.2	thiaminase II
PWY-7443	1.14.13.80	(R)-limonene 6-monooxygenase
PWY-6440	1.5.3.14	spermidine oxidase
PWY-782	1.14.19.-	1-18:3-2-16:1-monogalactosyldiacylglycerol desaturase
PWY-782	1.14.19.-	1-18:3-2-16:2-monogalactosyldiacylglycerol desaturase
PWY1F-353	1.14.15.7	choline monooxygenase
KDOSYN-PWY	2.4.99.13	KDO transferase
PWY-6349	2.5.1.41	phosphoglycerol geranylgeranyltransferase
PWY-6572	4.2.2.20	chondroitin sulfate B endolyase
PWY-6650	1.2.1.3	farnesal dehydrogenase
PWY-6575	1.2.1.3	farnesal dehydrogenase
PWY-782	1.14.19.-	1-18:1-2-16:2-monogalactosyldiacylglycerol desaturase
PWY-6789	3.2.1.32	endo-1,3-&beta;-xylanase
PWY-782	1.14.19.-	1-18:2-2-16:3-monogalactosyldiacylglycerol desaturase
PWY-782	1.14.19.-	1-18:2-2-16:2-monogalactosyldiacylglycerol desaturase
PWY0-522	2.7.7.63	lipoyl-adenylate--protein ligase
PWY-7080	1.21.3.5	sulochrin oxidase
PWY-782	1.14.19.-	1-18:2-2-16:1-monogalactosyldiacylglycerol desaturase
PWYG-321	3.6.3.-	RXN1G-473
PWY-699	1.14.-.-	cathasterone hydroxylase
PWY-6350	2.7.8.39	saturated archaetidylinositol phosphate synthase
PWY-7000	1.1.1.355	2'-oxokanamycin reductase
PWY-7000	1.14.11.37	kanamycin B dioxygenase
PWY-7287	2.4.1.302	L-noviosyl transferase
PWY-6141	2.7.8.38	saturated archaetidylserine synthase
PWY-7400	6.3.4.5	argininosuccinate synthase
PWY-5154	6.3.4.5	argininosuccinate synthase
ARGSYNBSUB-PWY	6.3.4.5	argininosuccinate synthase
ARGSYN-PWY	6.3.4.5	argininosuccinate synthase
PWY-4984	6.3.4.5	argininosuccinate synthase
PWY-4983	6.3.4.5	argininosuccinate synthase
PWYG-321	3.6.3.-	RXN1G-470
PWYG-321	2.3.1.-	trehalose-trans-methoxy-mono-mycolate:trehalose-trans-methoxy-mono-mycolate 6-mycolyltransferase
SULFMETII-PWY	1.8.4.9	adenylyl-sulfate reductase (glutathione)
PWY-6168	4.1.99.12	3,4-dihydroxy-2-butanone 4-phosphate synthase
PWY-6167	4.1.99.12	3,4-dihydroxy-2-butanone 4-phosphate synthase
RIBOSYN2-PWY	4.1.99.12	3,4-dihydroxy-2-butanone 4-phosphate synthase
PWY-6373	1.1.1.59	3-hydroxypropionate dehydrogenase
PWY-3941	1.1.1.59	3-hydroxypropionate dehydrogenase
PWY-5994	2.3.1.-	palmitoyl-[acp]:CoA transacylase
PWY-5751	4.1.1.53	L-phenylalanine decarboxylase
PWY-6318	4.1.1.53	L-phenylalanine decarboxylase
PWY-7189	2.4.1.-	8C-2,5,7-trihydroxyflavanone dibenzoylmethane tautomer glucosyltransferase
PWY66-422	2.7.7.12	UDP-glucose:&alpha;-D-galactose-1-phosphate uridylyltransferase
PWY-6317	2.7.7.12	UDP-glucose:&alpha;-D-galactose-1-phosphate uridylyltransferase
PWY-6527	2.7.7.12	UDP-glucose:&alpha;-D-galactose-1-phosphate uridylyltransferase
PWY-7188	4.2.1.-	2-hydroxyeriodictyol 6C-glucoside dehydratase
PWY-7188	2.4.1.-	eriodictyol dibenzoylmethane tautomer 6C-glucosyltransferase
PWY-7189	4.2.1.-	2,5,7-trihydroxyflavanone 6C-glucoside dehydratase
PWY-5487	1.14.13.167	4-nitrophenol 4-monooxygenase
PWY-6241	1.11.1.8	[thyroglobulin]-triiodothyronine synthase
PWY-7325	2.1.1.-	scutellarein 7-methyl ether 4'-<i>O</i>-methyltransferase
PWY-622	2.4.1.18	1,4-alpha-glucan branching enzyme
PWY-7076	2.1.1.-	3-methoxy-5-hydroxytoluene <i>O</i>-methyltransferase
PWY-7325	2.1.1.-	scutellarein 7-methyl ether 6-<i>O</i>-methyltransferase
2ASDEG-PWY	1.13.11.-	3-sulfocatechol 2,3-dioxygenase
PWYQT-4475	1.14.13.-	CYP79F2 hexahomomethionine monooxygenase
PWY-5757	1.11.1.23	(<i>S</i>)-2-hydroxypropylphosphonate epoxidase
GLYCLEAV-PWY	1.8.1.4	H-Gcv-protein-(dihydrolipoyl)lysine:NAD+ oxidoreductase
PWY-5759	2.4.1.-	gypsogenate-UDP-glucosyltransferase
PWY-5759	2.4.1.-	gypsogenin-UDP-glucosyltransferase
PWY-5760	1.5.3.17	spermine oxidase
PWY-6441	1.5.3.17	spermine oxidase
PWY-6117	1.5.3.17	spermine oxidase
PWY-6429	1.14.13.26	oleate 12-hydroxylase
PWY-7076	2.1.1.6	orcinol <i>O</i>-methyltransferase
PWY-6758	1.12.1.2	hydrogen dehydrogenase
PWY-5382	1.12.1.2	hydrogen dehydrogenase
PWY-6456	2.6.1.-	dihydroxyacetone phosphate transaminase
PWYG-321	1.3.1.9	trans-delta2-cis-delta19-C38:2-[acp]:NADH+ oxidoreductase
PWY-5704	3.5.1.5	urease
PWY-3301	2.4.1.120	sinapate-1-glucosyltransferase
PWY-6914	2.5.1.70	naringenin 8-dimethylallyltransferase
PWY-5287	1.14.13.55	protopine-6-hydroxylase
PWY4FS-6	2.7.7.14	ethanolamine-phosphate cytidylyltransferase
HISTSYN-PWY	2.4.2.-	imidazole glycerol phosphate synthase
PWY-7490	4.1.1.52	6-methylsalicylate decarboxylase
PWY3O-355	2.3.1.-	stearoyl-[acp]--CoA stearoyltransferase
PWY-2161B	3.4.19.9	folylpolyglutamate &gamma;-glutamyl hydrolase
PWY-3301	2.3.1.91	sinapoylglucose:choline <i>O</i>-sinapoyltransferase
ENTBACSYN-PWY	6.3.2.14	enterobactin synthase
PWY66-381	1.14.15.4	11-deoxycortisol oxidase
PWY-5956	|1.14.19.c|	versicolorin B desaturase
PWY-5955	4.2.1.143	versiconal cyclase
PWY-5959	1.14.13.175	8-<i>O</i>-methylsterigmatocystin monooxygenase
PWY-5955	1.1.1.353	versiconal reductase
PWY-5955	1.1.1.353	versiconal hemiacetal acetate reductase
PWY-5955	3.1.1.94	versiconol acetate esterase
PWY-6399	1.4.3.4	5-methoxytryptamine oxidase
NADPHOS-DEPHOS-PWY-1	2.7.1.23	NAD kinase
PWY-7269	2.7.1.23	NAD kinase
PWY-7268	2.7.1.23	NAD kinase
NADPHOS-DEPHOS-PWY	2.7.1.23	NAD kinase
PWY-5083	2.7.1.23	NAD kinase
PWY-7193	3.5.4.5	cytidine deaminase
PWY0-1295	3.5.4.5	cytidine deaminase
PWY-6556	3.5.4.5	cytidine deaminase
PWY-301	6.2.1.-	cyclohexanecarboxylate-CoA ligase
PWY-5094	2.4.1.236	UDP-L-rhamnose: naringenin 7-O-&beta;-D-glucoside-2''-O-&beta;-L-rhamnosyltransferase
NAGLIPASYN-PWY	2.4.1.182	lipid A disaccharide synthase
TYRFUMCAT-PWY	1.13.11.5	homogentisate oxygenase
4TOLCARBDEG-PWY	1.14.12.15	terephthalate 1,2-dioxygenase
PWY-7068	1.14.13.-	ursolic aldehyde 28-monooxygenase
PWY-7426	3.2.1.114	Alpha-mannosidase 2x
PWY-7068	1.14.13.-	&alpha;-amyrin 28-monooxygenase
AEROBACTINSYN-PWY	6.3.2.38	citrate:<i>N<SUP>6</SUP></i>-acetyl-<i>N<SUP>6</SUP></i>-hydroxy-L-lysine ligase
PWY-5456	1.2.1.23	methylglyoxal oxidase
PWY-7227	1.17.4.1	ADP reductase
PWY-7220	1.17.4.1	ADP reductase
PWY-5672	1.14.13.-	&beta;-amyrin 28-oxidase
SOPHOROSYLOXYDOCOSANOATE-DEG-PWY	3.1.1.6	sophorosyloxyfatty acid 6',6''-diacetate acetylestrase
PWY3O-4106	2.7.1.22	ribosylnicotinamide kinase
PYRUVDEHYD-PWY	2.3.1.12	lipoate acetyltransferase
PYRUVDEHYD-PWY	1.8.1.4	lipoate acetyltransferase <i>N<sup>6</sup></i>-(dihydrolipoyl)lysine:NAD+ oxidoreductase
PWY-5129	2.3.1.50	serine palmitoyltransferase
PWY3DJ-12	2.3.1.50	serine palmitoyltransferase
SPHINGOLIPID-SYN-PWY	2.3.1.50	serine palmitoyltransferase
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	4.1.1.44	4-carboxymuconolactone decarboxylase
PYRUVDEHYD-PWY	1.2.4.1	pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase
PWY-4	2.7.1.44	D-galacturonokinase
PWY-6440	1.5.3.14	spermine oxidase
SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	2.4.1.-	hydroxy fatty acid &beta;-glucosyltransferase
PWY-6785	1.10.9.1	plastoquinol-plastocyanin reductase
PWY-101	1.10.9.1	plastoquinol-plastocyanin reductase
PWY-6922	3.5.3.1	arginase
ARGASEDEG-PWY	3.5.3.1	arginase
PWY-6305	3.5.3.1	arginase
CITRULBIO-PWY	3.5.3.1	arginase
ARG-GLU-PWY	3.5.3.1	arginase
ARG-PRO-PWY	3.5.3.1	arginase
PWY-4984	3.5.3.1	arginase
PYRIDOXSYN-PWY	2.6.1.52	phosphohydroxythreonine aminotransferase
PWY-6724	3.2.1.2	1,4-a-D-glucan maltohydrolase
PWY-6724	3.2.1.2	1,4-&alpha;-D-glucan maltohydrolase
PWY-6724	3.1.3.-	6-phosophogluco-starch phosphatase
PWY-6724	3.1.3.-	6-phosophogluco-3-phosphogluco-starch phosphatase
LYXMET-PWY	5.1.3.-	L-lyxose isomerase
PWY-6827	3.2.1.179	gellan tetrasaccharide unsaturated glucuronyl hydrolase
PWY-5270	1.14.11.32	codeine <i>O</i>-demethylase
PWY-5270	1.14.11.31	oripavine 6-<i>O</i>-demethylase
NAGLIPASYN-PWY	3.6.1.54	UDP-2,3-diacylglucosamine hydrolase
PWY66-374	1.14.99.1	prostaglandin G/H synthase
PWY-5943	5.5.1.19	lycopene &beta;-cyclase
PWY-6038	4.1.3.34	citryl-ACP lyase
P2-PWY	6.2.1.22	[citrate [pro-3S]-lyase] ligase
PWY-6855	3.5.1.33	<i>N</i>-acetyl-D-glucosamine deacetylase
PWY4FS-6	2.7.1.82	ethanolamine kinase
PWY-3385	2.7.1.82	ethanolamine kinase
GLYCOCAT-PWY	3.2.1.33	glycogen phosphorylase-limit dextrin &alpha;-1,6-glucohydrolase
PWY-6969	1.2.7.3	2-oxoglutarate:ferredoxin oxidoreductase
PWY-5392	1.2.7.3	2-oxoglutarate:ferredoxin oxidoreductase
P42-PWY	1.2.7.3	2-oxoglutarate:ferredoxin oxidoreductase
P23-PWY	1.2.7.3	2-oxoglutarate:ferredoxin oxidoreductase
REDCITCYC	1.2.7.3	2-oxoglutarate:ferredoxin oxidoreductase
PWY-7384	5.4.99.2	methylmalonyl-CoA mutase
PWY-5789	5.4.99.2	methylmalonyl-CoA mutase
PROPIONMET-PWY	5.4.99.2	methylmalonyl-CoA mutase
PWY-5743	5.4.99.2	methylmalonyl-CoA mutase
PWY-6728	5.4.99.2	methylmalonyl-CoA mutase
P108-PWY	5.4.99.2	methylmalonyl-CoA mutase
PWY0-43	5.4.99.2	methylmalonyl-CoA mutase
PWY-5037	2.1.1.159	7-methylxanthine:S-adenosyl-L-methionine 3-N-methyltransferase
PWY-5039	2.1.1.159	7-methylxanthine:S-adenosyl-L-methionine 3-N-methyltransferase
PWY-5037	2.1.1.160	theobromine:S-adenosyl-L-methionine 1-N-methyltransferase
PWY-5037	2.1.1.158	xanthosine:S-adenosylmethionine 7-N-methyltransferase
PWY-5039	2.1.1.158	xanthosine:S-adenosylmethionine 7-N-methyltransferase
PWY-5038	2.1.1.158	xanthosine:S-adenosylmethionine 7-N-methyltransferase
PWY-6132	5.4.99.7	lanosterol synthase
PWY-5199	6.3.2.34	F420-1:&gamma;-glutamyl ligase
PWY-6789	3.2.1.72	xylan 1,3-&beta;-xylosidase
PWY-5036	1.14.11.-	(gibberellin-36), 2-oxoglutarate:oxygen oxidoreductase
PWY-7077	3.5.1.25	<em>N</em>-acetylglucosamine-6-phosphate deacetylase
PWY-7395	3.5.1.25	<em>N</em>-acetylglucosamine-6-phosphate deacetylase
PWY-6281	2.7.9.3	selenide, water dikinase
PWY0-901	2.7.9.3	selenide, water dikinase
PWY-6968	1.14.13.148	trimethylamine monooxygenase
PWY-6968	1.14.13.-	dimethylamine monooxygenase
PWY-6965	2.1.1.21	<i>N</i>-methyl-L-glutamate synthase
PWY-7376	1.14.13.83	precorrin 3B synthase
PWY-5534	4.4.1.23	(R)-2-hydroxypropyl-CoM:2-mercaptoethanesulfonate lyase (epoxyalkane-ring-forming)
PWY-5199	6.3.2.31	F420-0-glutamyl ligase
METH-ACETATE-PWY	2.1.1.245	corrinoid protein:5-methyltetrahydrosarcinapterin methyltransferase
PWY-7031	2.4.1.290	<i>N,N</i>'-diacetylbacillosaminyl-diphospho-undecaprenol &alpha;-1,3-<i>N</i>-acetylgalactosaminyltransferase
PWY-7031	2.4.1.293	GalNAc<sub>5</sub>-diNAcBac-PP-undecaprenol &beta;-1,3-glucosyltransferase
PWY-7031	2.4.1.292	GalNAc-&alpha;-(1&rarr;4)-GalNAc-&alpha;-(1&rarr;3)-diNAcBac-PP-undecaprenol &alpha;-1,4-<i>N</i>-acetyl-D-galactosaminyltransferase
PWY-2724	1.2.1.3	fatty aldehyde dehydrogenase
PWY-2501	1.2.1.3	fatty aldehyde dehydrogenase
PWY-2541	1.3.1.70	4&alpha;-methyl-5&alpha;-ergosta-8,14,24(28)-dien-3&beta;-ol &Delta;14-sterol reductase
PWY-7377	4.99.1.3	sirohydrochlorin cobaltochelatase
PWY-6825	2.1.1.71	phosphatidyl-<i>N</i>-dimethylethanolamine <i>N</i>-methyltransferase
PWY4FS-4	2.1.1.71	phosphatidyl-<i>N</i>-dimethylethanolamine <i>N</i>-methyltransferase
PWY4FS-3	2.1.1.71	phosphatidyl-<i>N</i>-dimethylethanolamine <i>N</i>-methyltransferase
PWY-6836	4.2.3.82	santalene synthase
PWY-7094	1.1.1.35	(<i>S</i>)-3-hydroxydecanoyl-CoA dehydrogenase
PWY-5499	3.1.1.27	4-pyridoxolactonase
PWY-6836	4.2.3.83	santalene synthase
PWY0-1433	1.5.1.-	dihydromonapterin reductase
PWY-4981	3.5.1.20	citrullinase
PWY-7412	1.14.13.-	mycinamicin VIII monooxygenase
PWY-7412	2.4.1.-	mycinamicin VII 6-deoxyallosyltransferase
PWY-7412	1.14.13.-	mycinamicin V epoxidase
PWY-7412	1.14.13.-	mycinamicin IV epoxidase
PWY-7485	4.2.1.154	tetracenomycin F2 cyclase
PWY-7483	4.2.1.154	tetracenomycin F2 cyclase
PWY-7412	2.3.1.-	protomycinolide IV synthase
HCAMHPDEG-PWY	3.7.1.14	2-hydroxy-6-ketonona-2,4-dienedioate hydrolase
TRIGLSYN-PWY	3.1.3.4	phosphatidate phosphatase
PWY-7415	2.4.1.317	<i>O</i>-mycaminosyltylonolide 6-deoxyallosyltransferase
DARABITOLUTIL-PWY	1.1.1.11	arabitol dehydrogenase
PWY-5292	1.14.13.73	tabersonine 16-hydroxylase
PWY-7096	1.3.1.9	2,3,4-saturated fatty acyl-[acp]:NAD+ oxidoreductase
FASYN-ELONG-PWY	1.3.1.9	2,3,4-saturated fatty acyl-[acp]:NAD+ oxidoreductase
PWY-6682	2.3.2.-	[1-(2-amino-4-methylpentanamido)ethenyl]phosphonate glycyltransferase
PWY-6682	2.1.1.-	desmethyl dehydrophos <i>O</i>-methyltransferase
PWY-6682	2.6.1.-	1-oxo-2-phosphorylethylphosphonate transaminase
PWY-6682	2.3.2.-	1-amino-2-phosphorylethylphosphonate leucinyltransferase
PWY-6518	3.5.1.24	glycocholate hydrolase
PWY-6061	1.1.1.181	cholest-5-ene-3&beta;,7&alpha;-diol 3&beta;-dehydrogenase
PWY-6683	1.8.4.10	phosphoadenylyl-sulfate reductase
PWY-5837	6.2.1.26	<i>o</i>-succinylbenzoate-CoA ligase
PWY-5028	3.5.1.68	<i>N</i>-formylglutamate amidohydrolase
PWY-5940	2.4.2.27	dTDP-L-dihydrostreptose:streatidine-6-phosphate dihydrostreptosyltransferase
PWY-6185	5.4.99.14	4-methylmuconolactone methylisomerase
PWY-6993	3.5.1.107	maleamate amidase
PWY-722	3.5.1.107	maleamate amidase
PWY-5033	3.5.1.107	maleamate amidase
PWY-5055	3.5.2.18	enamidase
PWY-6368	3.1.3.64	phosphatidylinositol-3-phosphate 3-phosphatase
PWY-6580	3.1.3.64	phosphatidylinositol-3-phosphate 3-phosphatase
PWY-721	1.3.99.17	quinoline 2-oxidoreductase
PWY-5526	1.3.99.35	chlorophyllide <i>a</i> reductase
PWY-7383	5.1.1.1	alanine racemase
ALANINE-VALINESYN-PWY	5.1.1.1	alanine racemase
ALADEG-PWY	5.1.1.1	alanine racemase
BSUBPOLYAMSYN-PWY	2.5.1.16	spermidine synthase
PWY-6323	2.3.1.144	anthranilate N-benzoyltransferase
PWYG-321	6.4.1.3	cerotoyl-CoA carboxylase
PWY-7351	1.5.1.22	strombine synthase
PWY-3581	2.1.1.116	3'-hydroxy-N-methylcoclaurine 4'-O-methyltransferase
PWY-7294	4.1.2.28	2-dehydro-3-deoxy-D-pentonate aldolase
PWY-7178	4.1.2.28	2-dehydro-3-deoxy-D-pentonate aldolase
GAMMAHEXCHLORDEG-PWY	4.5.1.-	&gamma;-pentachlorocyclohexene dehydrochlorinase
PWY-5002	2.3.1.151	benzophenone synthase
TRNA-CHARGING-PWY	6.1.1.18	glutaminyl-tRNA synthetase
PWY-4041	3.4.13.18	cysteinylglycine dipeptidase
PYRIDNUCSAL-PWY	3.5.1.19	nicotinamidase
PWY-5381	3.5.1.19	nicotinamidase
P345-PWY	3.5.1.19	nicotinamidase
PWY-5054	1.1.1.200	sorbitol-6-phosphate dehydrogenase
PWY-2904	2.4.1.170	isoflavone-7-O-glucosyltransferase
PWY-5956	2.1.1.109	6-demethylsterigmatocystin <i>O</i>-methyltransferase
PWY-5747	6.2.1.17	propanoate:CoA ligase (AMP-forming)
PWY-5104	6.2.1.17	propanoate:CoA ligase (AMP-forming)
PWY0-42	6.2.1.17	propanoate:CoA ligase (AMP-forming)
PWY-3941	6.2.1.17	propanoate:CoA ligase (AMP-forming)
PWY3O-6	1.1.3.37	D-arabinono-1,4-lactone oxidase
PWY-7315	2.6.1.59	dTDP-4-dehydro-6-deoxy-D-glucose transaminase
PWY-7204	2.7.1.35	pyridoxamine kinase
PLPSAL-PWY	2.7.1.35	pyridoxamine kinase
P303-PWY	1.7.99.8	hydrazine oxidoreductase
PWY-6084	5.2.1.10	2-chloro-<i>trans</i>-dienelactone isomerase
PWY-6312	2.3.1.-	type III polyketide synthase
PWY-5315	2.1.1.53	putrescine N-methyltransferase
PWY-6310	2.3.1.-	heptaketide pyrone synthase
PWY-5950	4.2.3.22	germacradienol synthase
PWY-762	1.14.19.-	1-18:3-2-16:0-phosphatidylglycerol desaturase
PWY-762	1.14.19.-	1-18:2-2-16:0-phosphatidylglycerol desaturase
PWY0-1241	5.1.3.20	ADP-L-glycero-D-mannoheptose-6-epimerase
PWY-7227	2.7.4.6	dADP kinase
PWY-7220	2.7.4.6	dADP kinase
PWY-7224	2.7.4.6	dADP kinase
PWY-762	1.14.19.-	1-18:2-2-16:0-phosphatidylglycerol desaturase
PWY-762	1.14.19.-	1-18:1-2-16:0-phosphatidylglycerol desaturase
PWY-7212	2.4.1.-	baicalein 7-<i>O</i>-glucosyltransferase
PWY-7213	2.4.1.-	wogonin 7-<i>O</i>-glucosyltransferase
PWY-782	1.14.19.-	1-18:2-2-18:2-digalactosyldiacylglycerol desaturas
PWY-7237	1.1.1.369	1D-<i>chiro</i>-inositol 1-dehydrogenase
P562-PWY	3.7.1.22	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase
PWY-5915	1.3.7.3	phycoerythrobilin:ferredoxin oxidoreductase
CATECHOL-ORTHO-CLEAVAGE-PWY	1.13.11.1	catechol-1,2-dioxygenase
PWY-7385	4.2.1.30	glycerol dehydratase
PWY-6130	4.2.1.30	glycerol dehydratase
PWY-6344	1.4.1.12	2,4-diaminopentanoate dehydrogenase
PWY-6142	2.7.1.146	ADP-dependent phosphofructokinase
P341-PWY	2.7.1.146	ADP-dependent phosphofructokinase
PWY66-375	3.3.2.6	leukotriene A-4 hydrolase
PWY-6752	1.10.3.1	catechol oxidase
PWY-6185	5.3.3.4	methylmuconolactone isomerase
PWY-6185	5.5.1.7	3-methylmuconate cycloisomerase
PWY-6708	2.5.1.39	4-hydroxybenzoate octaprenyltransferase
PWY-5870	2.5.1.39	4-hydroxybenzoate octaprenyltransferase
PWY-6193	5.5.1.-	5-chloromuconolactone dehalogenase
PWY0-166	1.17.4.1	2'-deoxyuridine 5'-diphosphate:oxidized NrdH glutaredoxin-like protein oxidoreductase
PWY0-166	1.17.4.2	CTP reductase
PWY-7187	1.17.4.2	CTP reductase
PWY-7181	2.4.2.3	uracil phosphorylase
PWY0-166	1.17.4.2	UTP reductase
PWY-7187	1.17.4.2	UTP reductase
PWY5F9-12	1.14.12.18	biphenyl 2,3-dioxygenase
PWY-7275	2.6.1.58	L-phenylalanine:pyruvate aminotransferase
PWY-5079	2.6.1.58	L-phenylalanine:pyruvate aminotransferase
PWY-6531	2.7.1.90	pyrophosphate-dependent phosphofructkinase
PWY-1042	2.7.1.90	pyrophosphate-dependent phosphofructkinase
SORBDEG-PWY	1.1.1.140	sorbitol-6-phosphate dehydrogenase
P302-PWY	1.1.1.140	sorbitol-6-phosphate dehydrogenase
PWY-5123	2.5.1.1	geranyl diphosphate synthase
PWY-7410	2.5.1.1	geranyl diphosphate synthase
PWY-7102	2.5.1.1	geranyl diphosphate synthase
PWY-7182	2.5.1.1	geranyl diphosphate synthase
PWY2OL-4	2.5.1.1	geranyl diphosphate synthase
PWY-7141	2.5.1.1	geranyl diphosphate synthase
PWY-5122	2.5.1.1	geranyl diphosphate synthase
PWY-6859	2.5.1.1	geranyl diphosphate synthase
PWY-6383	2.5.1.1	geranyl diphosphate synthase
PWY-7466	4.1.1.4	acetoacetate decarboxylase
PWY-6876	4.1.1.4	acetoacetate decarboxylase
PWY-6588	4.1.1.4	acetoacetate decarboxylase
PWY66-367	4.1.1.4	acetoacetate decarboxylase
PWY-5451	4.1.1.4	acetoacetate decarboxylase
PWY-6309	1.14.13.9	kynurenine 3-monooxygenase
PWY-5651	1.14.13.9	kynurenine 3-monooxygenase
PWY-2582	1.14.13.-	3-epi-6-deoxocathasterone C-23 hydroxylase
PWY-7300	1.14.99.22	ecdysone 20-monooxygenase
PWY-7448	2.3.1.-	epigallocatechin: 1-<i>O</i>-galloyl-&beta;-<i>D-</i>glucose <i>O</i>-galloyltransferase
PWY-7056	2.4.1.104	daphnetin 7-O-glucosyltransferase
PWY-6960	1.11.1.11	<small>L</small>-ascorbate peroxidase
PWY-6961	1.11.1.11	<small>L</small>-ascorbate peroxidase
PWY-6959	1.11.1.11	<small>L</small>-ascorbate peroxidase
PWY-1061	2.4.1.43	UDP-D-galacturonate:1,4-a-poly-D-galacturonate 4-a-D-galacturonosyltransferase
PWY-5782	1.1.1.-	L-sorbosone dehydrogenase
DISSULFRED-PWY	2.7.7.4	sulfate adenylyltransferase
PWY-6683	2.7.7.4	sulfate adenylyltransferase
P224-PWY	2.7.7.4	sulfate adenylyltransferase
SULFMETII-PWY	2.7.7.4	sulfate adenylyltransferase
PWY-5340	2.7.7.4	sulfate adenylyltransferase
PWY-5278	2.7.7.4	sulfate adenylyltransferase
P302-PWY	1.1.1.-	L-sorbose 1-phosphate reductase
PWY-3101	1.14.13.88	dihydrokaempferol,NADPH:oxygen oxidoreductase
PWY-5028	3.5.3.13	formiminoglutamate deiminase
P141-PWY	3.5.99.4	<i>N</i>-isopropylammelide isopropylaminohydrolase
PWY-1622	1.1.1.81	hydroxypyruvate reductase
P421-PWY	1.14.13.-	4-nitrotoluene monooxygenase
PWY-5153	1.14.11.-	anthocyanidin synthase
PWY-7170	1.14.99.3	heme oxygenase
PWY-5917	1.14.99.3	heme oxygenase
PWY-5915	1.14.99.3	heme oxygenase
PWY-5874	1.14.99.3	heme oxygenase
PWY-5686	2.1.3.2	aspartate transcarbamylase
PWY-6976	1.1.1.-	dTDP-4-dehydro-3-methyl-2,6-dideoxy-&alpha;-L-galactose 4-ketoreductase
ASPARAGINE-BIOSYNTHESIS	6.3.5.4	L-aspartate:L-glutamine amido-ligase (AMP-forming)
PWY-6554	2.7.1.159	inositol 1,3,4-triphosphate 5 kinase
PWY-5048	1.1.1.222	(R+)-3-(4-hydroxyphenyl)lactate:NADP+ oxidoreductase
PWY-5742	1.2.1.54	guanidinobutyraldehyde dehydrogenase
ARGDEG-IV-PWY	1.2.1.54	guanidinobutyraldehyde dehydrogenase
PWY-6825	2.1.1.17	phosphatidylethanolamine <i>N</i>-methyltransferase
PWY-5936	2.4.2.39	xyloglucan 6-xylosyltransferase
PWY-5936	2.4.1.-	&alpha;-1,2-fucosyltransferase
TREDEGLOW-PWY	3.2.1.93	trehalose-6-phosphate hydrolase
PWY-5660	2.3.1.167	10-deacetylbaccatin III-10-O-acetyl transferase
P541-PWY	2.1.1.161	dimethylglycine-betaine methyltransferase
PWY-6004	2.1.1.161	dimethylglycine-betaine methyltransferase
PWY-7396	2.3.3.7	3-ethylmalate synthase
PWY-3801	5.3.1.9	Glucose-6-phosphate isomerase
PWY-6008	5.4.99.57	baruol synthase
CRNFORCAT-PWY	1.5.8.3	sarcosine dehydrogenase
PWY-4722	1.5.8.3	sarcosine dehydrogenase
PWY-6817	3.2.1.162	&lambda;-carrageenase
